"TIME","GEO","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2009","Slovenia","Total","Less than 1 year","Year","79.4",""
"2009","Slovenia","Males","Less than 1 year","Year","75.9",""
"2009","Slovenia","Females","Less than 1 year","Year","82.7",""
"2009","Slovakia","Total","Less than 1 year","Year","75.3",""
"2009","Slovakia","Males","Less than 1 year","Year","71.4",""
"2009","Slovakia","Females","Less than 1 year","Year","79.1",""
"2009","Finland","Total","Less than 1 year","Year","80.1",""
"2009","Finland","Males","Less than 1 year","Year","76.6",""
"2009","Finland","Females","Less than 1 year","Year","83.5",""
"2009","Sweden","Total","Less than 1 year","Year","81.5",""
"2009","Sweden","Males","Less than 1 year","Year","79.4",""
"2009","Sweden","Females","Less than 1 year","Year","83.5",""
"2009","United Kingdom","Total","Less than 1 year","Year","80.4",""
"2009","United Kingdom","Males","Less than 1 year","Year","78.3",""
"2009","United Kingdom","Females","Less than 1 year","Year","82.4",""
"2009","European Economic Area (EU28 plus IS, LI, NO)","Total","Less than 1 year","Year","79.6",""
"2009","European Economic Area (EU28 plus IS, LI, NO)","Males","Less than 1 year","Year","76.6",""
"2009","European Economic Area (EU28 plus IS, LI, NO)","Females","Less than 1 year","Year","82.6",""
"2009","European Economic Area (EU27 plus IS, LI, NO)","Total","Less than 1 year","Year","79.7",""
"2009","European Economic Area (EU27 plus IS, LI, NO)","Males","Less than 1 year","Year","76.6",""
"2009","European Economic Area (EU27 plus IS, LI, NO)","Females","Less than 1 year","Year","82.6",""
"2009","European Free Trade Association","Total","Less than 1 year","Year","81.9",""
"2009","European Free Trade Association","Males","Less than 1 year","Year","79.4",""
"2009","European Free Trade Association","Females","Less than 1 year","Year","84.1",""
"2009","Iceland","Total","Less than 1 year","Year","81.8",""
"2009","Iceland","Males","Less than 1 year","Year","79.8",""
"2009","Iceland","Females","Less than 1 year","Year","83.8",""
"2009","Liechtenstein","Total","Less than 1 year","Year","81.7",""
"2009","Liechtenstein","Males","Less than 1 year","Year","79.5",""
"2009","Liechtenstein","Females","Less than 1 year","Year","83.6",""
"2009","Norway","Total","Less than 1 year","Year","81.0",""
"2009","Norway","Males","Less than 1 year","Year","78.7",""
"2009","Norway","Females","Less than 1 year","Year","83.2",""
"2009","Switzerland","Total","Less than 1 year","Year","82.3",""
"2009","Switzerland","Males","Less than 1 year","Year","79.9",""
"2009","Switzerland","Females","Less than 1 year","Year","84.6",""
"2009","Montenegro","Total","Less than 1 year","Year","75.2",""
"2009","Montenegro","Males","Less than 1 year","Year","72.9",""
"2009","Montenegro","Females","Less than 1 year","Year","77.5",""
"2009","North Macedonia","Total","Less than 1 year","Year","74.4",""
"2009","North Macedonia","Males","Less than 1 year","Year","72.3",""
"2009","North Macedonia","Females","Less than 1 year","Year","76.7",""
"2009","Albania","Total","Less than 1 year","Year",":",""
"2009","Albania","Males","Less than 1 year","Year",":",""
"2009","Albania","Females","Less than 1 year","Year",":",""
"2009","Serbia","Total","Less than 1 year","Year","74.0",""
"2009","Serbia","Males","Less than 1 year","Year","71.4",""
"2009","Serbia","Females","Less than 1 year","Year","76.7",""
"2009","Turkey","Total","Less than 1 year","Year","76.0",""
"2009","Turkey","Males","Less than 1 year","Year","73.3",""
"2009","Turkey","Females","Less than 1 year","Year","78.8",""
"2009","Belarus","Total","Less than 1 year","Year",":",""
"2009","Belarus","Males","Less than 1 year","Year",":",""
"2009","Belarus","Females","Less than 1 year","Year",":",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Less than 1 year","Year",":",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Less than 1 year","Year",":",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Less than 1 year","Year",":",""
"2009","Moldova","Total","Less than 1 year","Year","69.4",""
"2009","Moldova","Males","Less than 1 year","Year","65.3",""
"2009","Moldova","Females","Less than 1 year","Year","73.6",""
"2009","Russia","Total","Less than 1 year","Year","68.7",""
"2009","Russia","Males","Less than 1 year","Year","62.8",""
"2009","Russia","Females","Less than 1 year","Year","74.7",""
"2009","San Marino","Total","Less than 1 year","Year",":",""
"2009","San Marino","Males","Less than 1 year","Year",":",""
"2009","San Marino","Females","Less than 1 year","Year",":",""
"2009","Ukraine","Total","Less than 1 year","Year",":",""
"2009","Ukraine","Males","Less than 1 year","Year",":",""
"2009","Ukraine","Females","Less than 1 year","Year",":",""
"2009","Armenia","Total","Less than 1 year","Year","73.7",""
"2009","Armenia","Males","Less than 1 year","Year","70.5",""
"2009","Armenia","Females","Less than 1 year","Year","76.7",""
"2009","Azerbaijan","Total","Less than 1 year","Year","73.8",""
"2009","Azerbaijan","Males","Less than 1 year","Year","71.4",""
"2009","Azerbaijan","Females","Less than 1 year","Year","76.3",""
"2009","Georgia","Total","Less than 1 year","Year","73.3",""
"2009","Georgia","Males","Less than 1 year","Year","68.9",""
"2009","Georgia","Females","Less than 1 year","Year","77.5",""
"2010","European Union - 28 countries","Total","Less than 1 year","Year","79.9","b"
"2010","European Union - 28 countries","Males","Less than 1 year","Year","76.9","b"
"2010","European Union - 28 countries","Females","Less than 1 year","Year","82.8","b"
"2010","European Union - 27 countries (2007-2013)","Total","Less than 1 year","Year","80.0","b"
"2010","European Union - 27 countries (2007-2013)","Males","Less than 1 year","Year","77.0","b"
"2010","European Union - 27 countries (2007-2013)","Females","Less than 1 year","Year","82.9","b"
"2010","Euro area (19 countries)","Total","Less than 1 year","Year","81.1",""
"2010","Euro area (19 countries)","Males","Less than 1 year","Year","78.1",""
"2010","Euro area (19 countries)","Females","Less than 1 year","Year","83.9",""
"2010","Euro area (18 countries)","Total","Less than 1 year","Year","81.1",""
"2010","Euro area (18 countries)","Males","Less than 1 year","Year","78.2",""
"2010","Euro area (18 countries)","Females","Less than 1 year","Year","83.9",""
"2010","Belgium","Total","Less than 1 year","Year","80.3",""
"2010","Belgium","Males","Less than 1 year","Year","77.5",""
"2010","Belgium","Females","Less than 1 year","Year","83.0",""
"2010","Bulgaria","Total","Less than 1 year","Year","73.8",""
"2010","Bulgaria","Males","Less than 1 year","Year","70.3",""
"2010","Bulgaria","Females","Less than 1 year","Year","77.4",""
"2010","Czechia","Total","Less than 1 year","Year","77.7",""
"2010","Czechia","Males","Less than 1 year","Year","74.5",""
"2010","Czechia","Females","Less than 1 year","Year","80.9",""
"2010","Denmark","Total","Less than 1 year","Year","79.3",""
"2010","Denmark","Males","Less than 1 year","Year","77.2",""
"2010","Denmark","Females","Less than 1 year","Year","81.4",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Less than 1 year","Year","80.5",""
"2010","Germany (until 1990 former territory of the FRG)","Males","Less than 1 year","Year","78.0",""
"2010","Germany (until 1990 former territory of the FRG)","Females","Less than 1 year","Year","83.0",""
"2010","Germany including former GDR","Total","Less than 1 year","Year","80.5",""
"2010","Germany including former GDR","Males","Less than 1 year","Year","78.0",""
"2010","Germany including former GDR","Females","Less than 1 year","Year","83.0",""
"2010","Estonia","Total","Less than 1 year","Year","76.0",""
"2010","Estonia","Males","Less than 1 year","Year","70.9",""
"2010","Estonia","Females","Less than 1 year","Year","80.8",""
"2010","Ireland","Total","Less than 1 year","Year","80.8",""
"2010","Ireland","Males","Less than 1 year","Year","78.5",""
"2010","Ireland","Females","Less than 1 year","Year","83.1",""
"2010","Greece","Total","Less than 1 year","Year","80.6",""
"2010","Greece","Males","Less than 1 year","Year","78.0",""
"2010","Greece","Females","Less than 1 year","Year","83.3",""
"2010","Spain","Total","Less than 1 year","Year","82.4",""
"2010","Spain","Males","Less than 1 year","Year","79.2",""
"2010","Spain","Females","Less than 1 year","Year","85.5",""
"2010","France","Total","Less than 1 year","Year","81.8",""
"2010","France","Males","Less than 1 year","Year","78.2",""
"2010","France","Females","Less than 1 year","Year","85.3",""
"2010","France (metropolitan)","Total","Less than 1 year","Year","81.9",""
"2010","France (metropolitan)","Males","Less than 1 year","Year","78.3",""
"2010","France (metropolitan)","Females","Less than 1 year","Year","85.3",""
"2010","Croatia","Total","Less than 1 year","Year","76.7",""
"2010","Croatia","Males","Less than 1 year","Year","73.4",""
"2010","Croatia","Females","Less than 1 year","Year","79.9",""
"2010","Italy","Total","Less than 1 year","Year","82.2",""
"2010","Italy","Males","Less than 1 year","Year","79.5",""
"2010","Italy","Females","Less than 1 year","Year","84.7",""
"2010","Cyprus","Total","Less than 1 year","Year","81.5",""
"2010","Cyprus","Males","Less than 1 year","Year","79.2",""
"2010","Cyprus","Females","Less than 1 year","Year","83.9",""
"2010","Latvia","Total","Less than 1 year","Year","73.1",""
"2010","Latvia","Males","Less than 1 year","Year","67.9",""
"2010","Latvia","Females","Less than 1 year","Year","78.0",""
"2010","Lithuania","Total","Less than 1 year","Year","73.3",""
"2010","Lithuania","Males","Less than 1 year","Year","67.6",""
"2010","Lithuania","Females","Less than 1 year","Year","78.9",""
"2010","Luxembourg","Total","Less than 1 year","Year","80.8",""
"2010","Luxembourg","Males","Less than 1 year","Year","77.9",""
"2010","Luxembourg","Females","Less than 1 year","Year","83.5",""
"2010","Hungary","Total","Less than 1 year","Year","74.7",""
"2010","Hungary","Males","Less than 1 year","Year","70.7",""
"2010","Hungary","Females","Less than 1 year","Year","78.6",""
"2010","Malta","Total","Less than 1 year","Year","81.5",""
"2010","Malta","Males","Less than 1 year","Year","79.3",""
"2010","Malta","Females","Less than 1 year","Year","83.6",""
"2010","Netherlands","Total","Less than 1 year","Year","81.0",""
"2010","Netherlands","Males","Less than 1 year","Year","78.9",""
"2010","Netherlands","Females","Less than 1 year","Year","83.0",""
"2010","Austria","Total","Less than 1 year","Year","80.7",""
"2010","Austria","Males","Less than 1 year","Year","77.8",""
"2010","Austria","Females","Less than 1 year","Year","83.5",""
"2010","Poland","Total","Less than 1 year","Year","76.4","b"
"2010","Poland","Males","Less than 1 year","Year","72.2","b"
"2010","Poland","Females","Less than 1 year","Year","80.7","b"
"2010","Portugal","Total","Less than 1 year","Year","80.1",""
"2010","Portugal","Males","Less than 1 year","Year","76.8",""
"2010","Portugal","Females","Less than 1 year","Year","83.2",""
"2010","Romania","Total","Less than 1 year","Year","73.7",""
"2010","Romania","Males","Less than 1 year","Year","70.0",""
"2010","Romania","Females","Less than 1 year","Year","77.7",""
"2010","Slovenia","Total","Less than 1 year","Year","79.8",""
"2010","Slovenia","Males","Less than 1 year","Year","76.4",""
"2010","Slovenia","Females","Less than 1 year","Year","83.1",""
"2010","Slovakia","Total","Less than 1 year","Year","75.6",""
"2010","Slovakia","Males","Less than 1 year","Year","71.8",""
"2010","Slovakia","Females","Less than 1 year","Year","79.3",""
"2010","Finland","Total","Less than 1 year","Year","80.2",""
"2010","Finland","Males","Less than 1 year","Year","76.9",""
"2010","Finland","Females","Less than 1 year","Year","83.5",""
"2010","Sweden","Total","Less than 1 year","Year","81.6",""
"2010","Sweden","Males","Less than 1 year","Year","79.6",""
"2010","Sweden","Females","Less than 1 year","Year","83.6",""
"2010","United Kingdom","Total","Less than 1 year","Year","80.6",""
"2010","United Kingdom","Males","Less than 1 year","Year","78.6",""
"2010","United Kingdom","Females","Less than 1 year","Year","82.6",""
"2010","European Economic Area (EU28 plus IS, LI, NO)","Total","Less than 1 year","Year","79.9","b"
"2010","European Economic Area (EU28 plus IS, LI, NO)","Males","Less than 1 year","Year","77.0","b"
"2010","European Economic Area (EU28 plus IS, LI, NO)","Females","Less than 1 year","Year","82.8","b"
"2010","European Economic Area (EU27 plus IS, LI, NO)","Total","Less than 1 year","Year","80.0","b"
"2010","European Economic Area (EU27 plus IS, LI, NO)","Males","Less than 1 year","Year","77.0","b"
"2010","European Economic Area (EU27 plus IS, LI, NO)","Females","Less than 1 year","Year","82.9","b"
"2010","European Free Trade Association","Total","Less than 1 year","Year","82.1",""
"2010","European Free Trade Association","Males","Less than 1 year","Year","79.8",""
"2010","European Free Trade Association","Females","Less than 1 year","Year","84.3",""
"2010","Iceland","Total","Less than 1 year","Year","81.9",""
"2010","Iceland","Males","Less than 1 year","Year","79.8",""
"2010","Iceland","Females","Less than 1 year","Year","84.1",""
"2010","Liechtenstein","Total","Less than 1 year","Year","81.8",""
"2010","Liechtenstein","Males","Less than 1 year","Year","79.5",""
"2010","Liechtenstein","Females","Less than 1 year","Year","84.3",""
