"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2008","France","Marriages","265,546",""
"2008","France","Crude marriage rate","4.1",""
"2008","France","Mean age at first marriage - males","32.4",""
"2008","France","Mean age at first marriage - females","30.2",""
"2008","France","Total first marriage rate - males","0.51",""
"2008","France (metropolitan)","Marriages","258,739",""
"2008","France (metropolitan)","Crude marriage rate","4.2",""
"2008","France (metropolitan)","Mean age at first marriage - males","32.4",""
"2008","France (metropolitan)","Mean age at first marriage - females","30.2",""
"2008","France (metropolitan)","Total first marriage rate - males","0.52",""
"2008","Croatia","Marriages","23,373",""
"2008","Croatia","Crude marriage rate","5.4",""
"2008","Croatia","Mean age at first marriage - males","29.7",""
"2008","Croatia","Mean age at first marriage - females","26.6",""
"2008","Croatia","Total first marriage rate - males","0.68",""
"2008","Italy","Marriages","246,613",""
"2008","Italy","Crude marriage rate","4.2",""
"2008","Italy","Mean age at first marriage - males","32.8",""
"2008","Italy","Mean age at first marriage - females","29.8",""
"2008","Italy","Total first marriage rate - males","0.53",""
"2008","Cyprus","Marriages","6,115",""
"2008","Cyprus","Crude marriage rate","7.8",""
"2008","Cyprus","Mean age at first marriage - males",":",""
"2008","Cyprus","Mean age at first marriage - females",":",""
"2008","Cyprus","Total first marriage rate - males",":",""
"2008","Latvia","Marriages","12,946",""
"2008","Latvia","Crude marriage rate","5.9",""
"2008","Latvia","Mean age at first marriage - males","28.8",""
"2008","Latvia","Mean age at first marriage - females","26.5",""
"2008","Latvia","Total first marriage rate - males","0.55",""
"2008","Lithuania","Marriages","24,063",""
"2008","Lithuania","Crude marriage rate","7.5",""
"2008","Lithuania","Mean age at first marriage - males","28.0",""
"2008","Lithuania","Mean age at first marriage - females","25.8",""
"2008","Lithuania","Total first marriage rate - males","0.75",""
"2008","Luxembourg","Marriages","1,917",""
"2008","Luxembourg","Crude marriage rate","3.9",""
"2008","Luxembourg","Mean age at first marriage - males","32.1",""
"2008","Luxembourg","Mean age at first marriage - females","29.8",""
"2008","Luxembourg","Total first marriage rate - males","0.41",""
"2008","Hungary","Marriages","40,105",""
"2008","Hungary","Crude marriage rate","4.0",""
"2008","Hungary","Mean age at first marriage - males","30.4",""
"2008","Hungary","Mean age at first marriage - females","27.5",""
"2008","Hungary","Total first marriage rate - males","0.40",""
"2008","Malta","Marriages","2,482",""
"2008","Malta","Crude marriage rate","6.1",""
"2008","Malta","Mean age at first marriage - males","30.8",""
"2008","Malta","Mean age at first marriage - females","28.5",""
"2008","Malta","Total first marriage rate - males","0.74",""
"2008","Netherlands","Marriages","74,030",""
"2008","Netherlands","Crude marriage rate","4.5",""
"2008","Netherlands","Mean age at first marriage - males","32.4",""
"2008","Netherlands","Mean age at first marriage - females","29.8",""
"2008","Netherlands","Total first marriage rate - males","0.54",""
"2008","Austria","Marriages","35,223",""
"2008","Austria","Crude marriage rate","4.2",""
"2008","Austria","Mean age at first marriage - males","32.2",""
"2008","Austria","Mean age at first marriage - females","29.5",""
"2008","Austria","Total first marriage rate - males","0.46",""
"2008","Poland","Marriages","257,744",""
"2008","Poland","Crude marriage rate","6.8",""
"2008","Poland","Mean age at first marriage - males","28.2",""
"2008","Poland","Mean age at first marriage - females","25.7",""
"2008","Poland","Total first marriage rate - males","0.73",""
"2008","Portugal","Marriages","43,228",""
"2008","Portugal","Crude marriage rate","4.1",""
"2008","Portugal","Mean age at first marriage - males","29.0",""
"2008","Portugal","Mean age at first marriage - females","26.8",""
"2008","Portugal","Total first marriage rate - males","0.46",""
"2008","Romania","Marriages","149,439",""
"2008","Romania","Crude marriage rate","7.3",""
"2008","Romania","Mean age at first marriage - males","29.1",""
"2008","Romania","Mean age at first marriage - females","25.6",""
"2008","Romania","Total first marriage rate - males","0.74",""
"2008","Slovenia","Marriages","6,703",""
"2008","Slovenia","Crude marriage rate","3.3",""
"2008","Slovenia","Mean age at first marriage - males","31.3",""
"2008","Slovenia","Mean age at first marriage - females","28.6",""
"2008","Slovenia","Total first marriage rate - males","0.37",""
"2008","Slovakia","Marriages","28,293",""
"2008","Slovakia","Crude marriage rate","5.3",""
"2008","Slovakia","Mean age at first marriage - males","29.5",""
"2008","Slovakia","Mean age at first marriage - females","26.7",""
"2008","Slovakia","Total first marriage rate - males","0.53",""
"2008","Finland","Marriages","31,014",""
"2008","Finland","Crude marriage rate","5.8",""
"2008","Finland","Mean age at first marriage - males","32.3",""
"2008","Finland","Mean age at first marriage - females","30.0",""
"2008","Finland","Total first marriage rate - males","0.67",""
"2008","Sweden","Marriages","50,332",""
"2008","Sweden","Crude marriage rate","5.5",""
"2008","Sweden","Mean age at first marriage - males","35.2",""
"2008","Sweden","Mean age at first marriage - females","32.3",""
"2008","Sweden","Total first marriage rate - males","0.60",""
"2008","United Kingdom","Marriages","270,403",""
"2008","United Kingdom","Crude marriage rate","4.4",""
"2008","United Kingdom","Mean age at first marriage - males",":",""
"2008","United Kingdom","Mean age at first marriage - females",":",""
"2008","United Kingdom","Total first marriage rate - males","0.46",""
"2008","European Economic Area (EU28 plus IS, LI, NO)","Marriages","2,410,701",""
"2008","European Economic Area (EU28 plus IS, LI, NO)","Crude marriage rate","4.8",""
"2008","European Economic Area (EU28 plus IS, LI, NO)","Mean age at first marriage - males",":",""
"2008","European Economic Area (EU28 plus IS, LI, NO)","Mean age at first marriage - females",":",""
"2008","European Economic Area (EU28 plus IS, LI, NO)","Total first marriage rate - males",":",""
"2008","European Economic Area (EU27 plus IS, LI, NO)","Marriages","2,387,328",""
"2008","European Economic Area (EU27 plus IS, LI, NO)","Crude marriage rate","4.8",""
"2008","European Economic Area (EU27 plus IS, LI, NO)","Mean age at first marriage - males",":",""
"2008","European Economic Area (EU27 plus IS, LI, NO)","Mean age at first marriage - females",":",""
"2008","European Economic Area (EU27 plus IS, LI, NO)","Total first marriage rate - males",":",""
"2008","European Free Trade Association","Marriages","68,506",""
"2008","European Free Trade Association","Crude marriage rate","5.4",""
"2008","European Free Trade Association","Mean age at first marriage - males",":",""
"2008","European Free Trade Association","Mean age at first marriage - females",":",""
"2008","European Free Trade Association","Total first marriage rate - males",":",""
"2008","Iceland","Marriages","1,642",""
"2008","Iceland","Crude marriage rate","5.2",""
"2008","Iceland","Mean age at first marriage - males","34.8",""
"2008","Iceland","Mean age at first marriage - females","32.4",""
"2008","Iceland","Total first marriage rate - males","0.56",""
"2008","Liechtenstein","Marriages","205",""
"2008","Liechtenstein","Crude marriage rate","5.8",""
"2008","Liechtenstein","Mean age at first marriage - males",":",""
"2008","Liechtenstein","Mean age at first marriage - females",":",""
"2008","Liechtenstein","Total first marriage rate - males",":",""
"2008","Norway","Marriages","25,125",""
"2008","Norway","Crude marriage rate","5.3",""
"2008","Norway","Mean age at first marriage - males","33.8",""
"2008","Norway","Mean age at first marriage - females","31.0",""
"2008","Norway","Total first marriage rate - males","0.58",""
"2008","Switzerland","Marriages","41,534",""
"2008","Switzerland","Crude marriage rate","5.4",""
"2008","Switzerland","Mean age at first marriage - males","32.1",""
"2008","Switzerland","Mean age at first marriage - females","29.6",""
"2008","Switzerland","Total first marriage rate - males","0.61",""
"2008","Montenegro","Marriages","3,445",""
"2008","Montenegro","Crude marriage rate","5.6",""
"2008","Montenegro","Mean age at first marriage - males","30.7",""
"2008","Montenegro","Mean age at first marriage - females","26.4",""
"2008","Montenegro","Total first marriage rate - males","0.69",""
"2008","North Macedonia","Marriages","14,695",""
"2008","North Macedonia","Crude marriage rate","7.2",""
"2008","North Macedonia","Mean age at first marriage - males","27.9",""
"2008","North Macedonia","Mean age at first marriage - females","24.8",""
"2008","North Macedonia","Total first marriage rate - males","0.81",""
"2008","Albania","Marriages","21,290",""
"2008","Albania","Crude marriage rate","6.7",""
"2008","Albania","Mean age at first marriage - males",":",""
"2008","Albania","Mean age at first marriage - females",":",""
"2008","Albania","Total first marriage rate - males",":",""
"2008","Serbia","Marriages","38,285",""
"2008","Serbia","Crude marriage rate","5.2",""
"2008","Serbia","Mean age at first marriage - males","30.3",""
"2008","Serbia","Mean age at first marriage - females","26.8",""
"2008","Serbia","Total first marriage rate - males","0.65",""
"2008","Turkey","Marriages","641,973",""
"2008","Turkey","Crude marriage rate","9.0",""
"2008","Turkey","Mean age at first marriage - males","26.9",""
"2008","Turkey","Mean age at first marriage - females","23.6",""
"2008","Turkey","Total first marriage rate - males","0.89",""
"2008","Andorra","Marriages","260",""
"2008","Andorra","Crude marriage rate","3.1",""
"2008","Andorra","Mean age at first marriage - males",":",""
"2008","Andorra","Mean age at first marriage - females",":",""
"2008","Andorra","Total first marriage rate - males",":",""
"2008","Belarus","Marriages","77,201",""
"2008","Belarus","Crude marriage rate","8.0",""
"2008","Belarus","Mean age at first marriage - males","26.5",""
"2008","Belarus","Mean age at first marriage - females","24.1",""
"2008","Belarus","Total first marriage rate - males","0.73",""
"2008","Bosnia and Herzegovina","Marriages","22,151",""
"2008","Bosnia and Herzegovina","Crude marriage rate","5.8",""
"2008","Bosnia and Herzegovina","Mean age at first marriage - males",":",""
"2008","Bosnia and Herzegovina","Mean age at first marriage - females",":",""
"2008","Bosnia and Herzegovina","Total first marriage rate - males",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Marriages","17,950",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Crude marriage rate","8.3",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Mean age at first marriage - males",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Mean age at first marriage - females",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Total first marriage rate - males",":",""
"2008","Moldova","Marriages","26,666",""
"2008","Moldova","Crude marriage rate","7.5",""
"2008","Moldova","Mean age at first marriage - males",":",""
"2008","Moldova","Mean age at first marriage - females",":",""
"2008","Moldova","Total first marriage rate - males",":",""
"2008","Monaco","Marriages",":",""
"2008","Monaco","Crude marriage rate",":",""
"2008","Monaco","Mean age at first marriage - males",":",""
"2008","Monaco","Mean age at first marriage - females",":",""
"2008","Monaco","Total first marriage rate - males",":",""
"2008","Russia","Marriages","1,179,007",""
"2008","Russia","Crude marriage rate","8.3",""
"2008","Russia","Mean age at first marriage - males",":",""
"2008","Russia","Mean age at first marriage - females",":",""
"2008","Russia","Total first marriage rate - males",":",""
"2008","San Marino","Marriages","202",""
"2008","San Marino","Crude marriage rate","6.4",""
"2008","San Marino","Mean age at first marriage - males",":",""
"2008","San Marino","Mean age at first marriage - females",":",""
"2008","San Marino","Total first marriage rate - males",":",""
"2008","Ukraine","Marriages","321,992",""
"2008","Ukraine","Crude marriage rate","7.0",""
"2008","Ukraine","Mean age at first marriage - males","26.9",""
"2008","Ukraine","Mean age at first marriage - females","23.8",""
"2008","Ukraine","Total first marriage rate - males","0.66",""
"2008","Armenia","Marriages","18,465",""
"2008","Armenia","Crude marriage rate","5.7",""
"2008","Armenia","Mean age at first marriage - males","30.2",""
"2008","Armenia","Mean age at first marriage - females","25.7",""
"2008","Armenia","Total first marriage rate - males","0.68",""
"2008","Azerbaijan","Marriages","79,964",""
"2008","Azerbaijan","Crude marriage rate","9.1",""
"2008","Azerbaijan","Mean age at first marriage - males","28.9",""
"2008","Azerbaijan","Mean age at first marriage - females","24.3",""
"2008","Azerbaijan","Total first marriage rate - males","1.03",""
"2008","Georgia","Marriages","31,414",""
"2008","Georgia","Crude marriage rate","7.2",""
"2008","Georgia","Mean age at first marriage - males",":",""
"2008","Georgia","Mean age at first marriage - females",":",""
"2008","Georgia","Total first marriage rate - males",":",""
"2009","European Union - 28 countries","Marriages","2,280,223",""
"2009","European Union - 28 countries","Crude marriage rate","4.5",""
"2009","European Union - 28 countries","Mean age at first marriage - males",":",""
"2009","European Union - 28 countries","Mean age at first marriage - females",":",""
"2009","European Union - 28 countries","Total first marriage rate - males",":",""
"2009","European Union - 27 countries (2007-2013)","Marriages","2,257,841",""
"2009","European Union - 27 countries (2007-2013)","Crude marriage rate","4.5",""
"2009","European Union - 27 countries (2007-2013)","Mean age at first marriage - males",":",""
"2009","European Union - 27 countries (2007-2013)","Mean age at first marriage - females",":",""
"2009","European Union - 27 countries (2007-2013)","Total first marriage rate - males",":",""
"2009","Euro area (19 countries)","Marriages","1,414,166",""
"2009","Euro area (19 countries)","Crude marriage rate","4.2",""
"2009","Euro area (19 countries)","Mean age at first marriage - males",":",""
"2009","Euro area (19 countries)","Mean age at first marriage - females",":",""
"2009","Euro area (19 countries)","Total first marriage rate - males",":",""
"2009","Euro area (18 countries)","Marriages","1,393,624",""
"2009","Euro area (18 countries)","Crude marriage rate","4.2",""
"2009","Euro area (18 countries)","Mean age at first marriage - males",":",""
"2009","Euro area (18 countries)","Mean age at first marriage - females",":",""
"2009","Euro area (18 countries)","Total first marriage rate - males",":",""
"2009","Belgium","Marriages","43,303",""
"2009","Belgium","Crude marriage rate","4.0",""
"2009","Belgium","Mean age at first marriage - males","31.7",""
"2009","Belgium","Mean age at first marriage - females","29.3",""
"2009","Belgium","Total first marriage rate - males","0.45",""
"2009","Bulgaria","Marriages","25,923",""
"2009","Bulgaria","Crude marriage rate","3.5",""
"2009","Bulgaria","Mean age at first marriage - males","29.4",""
"2009","Bulgaria","Mean age at first marriage - females","26.2",""
"2009","Bulgaria","Total first marriage rate - males","0.40",""
"2009","Czechia","Marriages","47,862",""
"2009","Czechia","Crude marriage rate","4.6",""
"2009","Czechia","Mean age at first marriage - males","30.6",""
"2009","Czechia","Mean age at first marriage - females","27.6",""
"2009","Czechia","Total first marriage rate - males","0.41",""
"2009","Denmark","Marriages","32,934",""
"2009","Denmark","Crude marriage rate","6.0",""
"2009","Denmark","Mean age at first marriage - males","33.5",""
"2009","Denmark","Mean age at first marriage - females","31.1",""
"2009","Denmark","Total first marriage rate - males","0.70",""
"2009","Germany (until 1990 former territory of the FRG)","Marriages","378,439",""
"2009","Germany (until 1990 former territory of the FRG)","Crude marriage rate","4.6",""
"2009","Germany (until 1990 former territory of the FRG)","Mean age at first marriage - males","32.5",""
"2009","Germany (until 1990 former territory of the FRG)","Mean age at first marriage - females","29.8",""
"2009","Germany (until 1990 former territory of the FRG)","Total first marriage rate - males","0.53",""
"2009","Germany including former GDR","Marriages","378,439",""
"2009","Germany including former GDR","Crude marriage rate","4.6",""
"2009","Germany including former GDR","Mean age at first marriage - males","32.5",""
"2009","Germany including former GDR","Mean age at first marriage - females","29.8",""
"2009","Germany including former GDR","Total first marriage rate - males","0.53",""
"2009","Estonia","Marriages","5,362",""
"2009","Estonia","Crude marriage rate","4.0",""
"2009","Estonia","Mean age at first marriage - males","30.2",""
"2009","Estonia","Mean age at first marriage - females","27.8",""
"2009","Estonia","Total first marriage rate - males","0.39",""
"2009","Ireland","Marriages","21,627",""
"2009","Ireland","Crude marriage rate","4.8",""
"2009","Ireland","Mean age at first marriage - males","33.1",""
"2009","Ireland","Mean age at first marriage - females","31.2",""
"2009","Ireland","Total first marriage rate - males",":",""
"2009","Greece","Marriages","59,212",""
"2009","Greece","Crude marriage rate","5.3",""
"2009","Greece","Mean age at first marriage - males","32.5",""
"2009","Greece","Mean age at first marriage - females","29.0",""
"2009","Greece","Total first marriage rate - males","0.61",""
"2009","Spain","Marriages","172,357",""
"2009","Spain","Crude marriage rate","3.7",""
"2009","Spain","Mean age at first marriage - males","32.7",""
"2009","Spain","Mean age at first marriage - females","30.5",""
"2009","Spain","Total first marriage rate - males","0.39",""
"2009","France","Marriages","251,654",""
"2009","France","Crude marriage rate","3.9",""
"2009","France","Mean age at first marriage - males","32.6",""
"2009","France","Mean age at first marriage - females","30.4",""
"2009","France","Total first marriage rate - males","0.49",""
"2009","France (metropolitan)","Marriages","245,151",""
"2009","France (metropolitan)","Crude marriage rate","3.9",""
"2009","France (metropolitan)","Mean age at first marriage - males","32.5",""
"2009","France (metropolitan)","Mean age at first marriage - females","30.4",""
"2009","France (metropolitan)","Total first marriage rate - males","0.49",""
"2009","Croatia","Marriages","22,382",""
"2009","Croatia","Crude marriage rate","5.2",""
"2009","Croatia","Mean age at first marriage - males","29.8",""
"2009","Croatia","Mean age at first marriage - females","26.9",""
"2009","Croatia","Total first marriage rate - males","0.66",""
"2009","Italy","Marriages","230,613",""
"2009","Italy","Crude marriage rate","3.9",""
"2009","Italy","Mean age at first marriage - males","33.0",""
"2009","Italy","Mean age at first marriage - females","30.0",""
"2009","Italy","Total first marriage rate - males","0.50",""
"2009","Cyprus","Marriages","6,327",""
"2009","Cyprus","Crude marriage rate","7.8",""
"2009","Cyprus","Mean age at first marriage - males",":",""
"2009","Cyprus","Mean age at first marriage - females",":",""
"2009","Cyprus","Total first marriage rate - males",":",""
"2009","Latvia","Marriages","9,925",""
"2009","Latvia","Crude marriage rate","4.6",""
"2009","Latvia","Mean age at first marriage - males","29.3",""
"2009","Latvia","Mean age at first marriage - females","26.9",""
"2009","Latvia","Total first marriage rate - males","0.42",""
"2009","Lithuania","Marriages","20,542",""
"2009","Lithuania","Crude marriage rate","6.5",""
"2009","Lithuania","Mean age at first marriage - males","28.6",""
"2009","Lithuania","Mean age at first marriage - females","26.2",""
"2009","Lithuania","Total first marriage rate - males","0.65",""
"2009","Luxembourg","Marriages","1,739",""
"2009","Luxembourg","Crude marriage rate","3.5",""
"2009","Luxembourg","Mean age at first marriage - males","32.4",""
"2009","Luxembourg","Mean age at first marriage - females","29.7",""
"2009","Luxembourg","Total first marriage rate - males","0.35",""
"2009","Hungary","Marriages","36,730",""
"2009","Hungary","Crude marriage rate","3.7",""
"2009","Hungary","Mean age at first marriage - males","30.8",""
"2009","Hungary","Mean age at first marriage - females","28.0",""
"2009","Hungary","Total first marriage rate - males","0.36",""
"2009","Malta","Marriages","2,353",""
"2009","Malta","Crude marriage rate","5.7",""
"2009","Malta","Mean age at first marriage - males","31.1",""
"2009","Malta","Mean age at first marriage - females","28.7",""
"2009","Malta","Total first marriage rate - males","0.69",""
"2009","Netherlands","Marriages","72,119",""
"2009","Netherlands","Crude marriage rate","4.4",""
"2009","Netherlands","Mean age at first marriage - males","32.5",""
"2009","Netherlands","Mean age at first marriage - females","29.9",""
"2009","Netherlands","Total first marriage rate - males","0.53",""
"2009","Austria","Marriages","35,469",""
"2009","Austria","Crude marriage rate","4.3",""
"2009","Austria","Mean age at first marriage - males","32.5",""
"2009","Austria","Mean age at first marriage - females","29.9",""
"2009","Austria","Total first marriage rate - males","0.47",""
"2009","Poland","Marriages","250,794",""
"2009","Poland","Crude marriage rate","6.6","b"
"2009","Poland","Mean age at first marriage - males","28.3","b"
"2009","Poland","Mean age at first marriage - females","25.9","b"
"2009","Poland","Total first marriage rate - males","0.71",""
"2009","Portugal","Marriages","40,391",""
"2009","Portugal","Crude marriage rate","3.8",""
"2009","Portugal","Mean age at first marriage - males","29.3",""
"2009","Portugal","Mean age at first marriage - females","27.2",""
"2009","Portugal","Total first marriage rate - males","0.43",""
"2009","Romania","Marriages","134,275",""
"2009","Romania","Crude marriage rate","6.6",""
"2009","Romania","Mean age at first marriage - males","28.9",""
"2009","Romania","Mean age at first marriage - females","25.5",""
"2009","Romania","Total first marriage rate - males","0.68",""
"2009","Slovenia","Marriages","6,542",""
"2009","Slovenia","Crude marriage rate","3.2",""
"2009","Slovenia","Mean age at first marriage - males","31.2",""
"2009","Slovenia","Mean age at first marriage - females","28.5",""
"2009","Slovenia","Total first marriage rate - males","0.37",""
"2009","Slovakia","Marriages","26,356",""
"2009","Slovakia","Crude marriage rate","4.9",""
"2009","Slovakia","Mean age at first marriage - males","29.7",""
"2009","Slovakia","Mean age at first marriage - females","26.9",""
"2009","Slovakia","Total first marriage rate - males","0.50",""
"2009","Finland","Marriages","29,836",""
"2009","Finland","Crude marriage rate","5.6",""
"2009","Finland","Mean age at first marriage - males","32.3",""
"2009","Finland","Mean age at first marriage - females","30.0",""
"2009","Finland","Total first marriage rate - males","0.63",""
"2009","Sweden","Marriages","47,259",""
"2009","Sweden","Crude marriage rate","5.1",""
"2009","Sweden","Mean age at first marriage - males","35.2",""
"2009","Sweden","Mean age at first marriage - females","32.3",""
"2009","Sweden","Total first marriage rate - males","0.56",""
"2009","United Kingdom","Marriages","267,898",""
"2009","United Kingdom","Crude marriage rate","4.3",""
"2009","United Kingdom","Mean age at first marriage - males",":",""
"2009","United Kingdom","Mean age at first marriage - females",":",""
"2009","United Kingdom","Total first marriage rate - males",":",""
"2009","European Economic Area (EU28 plus IS, LI, NO)","Marriages","2,306,156",""
"2009","European Economic Area (EU28 plus IS, LI, NO)","Crude marriage rate","4.5",""
"2009","European Economic Area (EU28 plus IS, LI, NO)","Mean age at first marriage - males",":",""
"2009","European Economic Area (EU28 plus IS, LI, NO)","Mean age at first marriage - females",":",""
"2009","European Economic Area (EU28 plus IS, LI, NO)","Total first marriage rate - males",":",""
"2009","European Economic Area (EU27 plus IS, LI, NO)","Marriages","2,283,774",""
"2009","European Economic Area (EU27 plus IS, LI, NO)","Crude marriage rate","4.5",""
"2009","European Economic Area (EU27 plus IS, LI, NO)","Mean age at first marriage - males",":",""
"2009","European Economic Area (EU27 plus IS, LI, NO)","Mean age at first marriage - females",":",""
"2009","European Economic Area (EU27 plus IS, LI, NO)","Total first marriage rate - males",":",""
"2009","European Free Trade Association","Marriages","67,851",""
"2009","European Free Trade Association","Crude marriage rate","5.2",""
"2009","European Free Trade Association","Mean age at first marriage - males",":",""
"2009","European Free Trade Association","Mean age at first marriage - females",":",""
"2009","European Free Trade Association","Total first marriage rate - males",":",""
"2009","Iceland","Marriages","1,480",""
"2009","Iceland","Crude marriage rate","4.6",""
"2009","Iceland","Mean age at first marriage - males","35.1",""
"2009","Iceland","Mean age at first marriage - females","32.1",""
"2009","Iceland","Total first marriage rate - males","0.51",""
"2009","Liechtenstein","Marriages","154",""
"2009","Liechtenstein","Crude marriage rate","4.3",""
"2009","Liechtenstein","Mean age at first marriage - males",":",""
"2009","Liechtenstein","Mean age at first marriage - females",":",""
"2009","Liechtenstein","Total first marriage rate - males",":",""
"2009","Norway","Marriages","24,299",""
"2009","Norway","Crude marriage rate","5.0",""
"2009","Norway","Mean age at first marriage - males","33.5",""
"2009","Norway","Mean age at first marriage - females","30.9",""
"2009","Norway","Total first marriage rate - males","0.57",""
"2009","Switzerland","Marriages","41,918",""
"2009","Switzerland","Crude marriage rate","5.4",""
"2009","Switzerland","Mean age at first marriage - males","32.1",""
"2009","Switzerland","Mean age at first marriage - females","29.6",""
"2009","Switzerland","Total first marriage rate - males","0.60",""
"2009","Montenegro","Marriages","3,829",""
"2009","Montenegro","Crude marriage rate","6.1",""
"2009","Montenegro","Mean age at first marriage - males","31.3",""
"2009","Montenegro","Mean age at first marriage - females","26.7",""
"2009","Montenegro","Total first marriage rate - males","0.79",""
"2009","North Macedonia","Marriages","14,923",""
"2009","North Macedonia","Crude marriage rate","7.3",""
"2009","North Macedonia","Mean age at first marriage - males","28.2",""
"2009","North Macedonia","Mean age at first marriage - females","25.1",""
"2009","North Macedonia","Total first marriage rate - males","0.82",""
"2009","Albania","Marriages",":",""
"2009","Albania","Crude marriage rate",":",""
"2009","Albania","Mean age at first marriage - males",":",""
"2009","Albania","Mean age at first marriage - females",":",""
"2009","Albania","Total first marriage rate - males",":",""
"2009","Serbia","Marriages","36,853",""
"2009","Serbia","Crude marriage rate","5.0",""
"2009","Serbia","Mean age at first marriage - males","30.4",""
"2009","Serbia","Mean age at first marriage - females","27.1",""
"2009","Serbia","Total first marriage rate - males","0.63",""
"2009","Turkey","Marriages","591,742",""
"2009","Turkey","Crude marriage rate","8.2",""
"2009","Turkey","Mean age at first marriage - males","27.0",""
"2009","Turkey","Mean age at first marriage - females","23.7",""
"2009","Turkey","Total first marriage rate - males","0.81",""
"2009","Andorra","Marriages","263",""
"2009","Andorra","Crude marriage rate","3.1",""
"2009","Andorra","Mean age at first marriage - males",":",""
"2009","Andorra","Mean age at first marriage - females",":",""
