"TIME","GEO","UNIT","DEG_URB","INCGRP","Value","Flag and Footnotes"
"2010","Bulgaria","Percentage","Cities","Below 60% of median equivalised income","37.4",""
"2010","Czechia","Percentage","Cities","Below 60% of median equivalised income","30.5",""
"2010","Denmark","Percentage","Cities","Below 60% of median equivalised income","10.2",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Cities","Below 60% of median equivalised income","33.7",""
"2010","Estonia","Percentage","Cities","Below 60% of median equivalised income","20.5",""
"2010","Ireland","Percentage","Cities","Below 60% of median equivalised income","7.3",""
"2010","Greece","Percentage","Cities","Below 60% of median equivalised income","41.4",""
"2010","Spain","Percentage","Cities","Below 60% of median equivalised income","14.9",""
"2010","France","Percentage","Cities","Below 60% of median equivalised income","23.2",""
"2010","Croatia","Percentage","Cities","Below 60% of median equivalised income","15.7",""
"2010","Italy","Percentage","Cities","Below 60% of median equivalised income","25.2",""
"2010","Cyprus","Percentage","Cities","Below 60% of median equivalised income","17.0",""
"2010","Latvia","Percentage","Cities","Below 60% of median equivalised income","33.1",""
"2010","Lithuania","Percentage","Cities","Below 60% of median equivalised income","16.9",""
"2010","Luxembourg","Percentage","Cities","Below 60% of median equivalised income","21.1",""
"2010","Hungary","Percentage","Cities","Below 60% of median equivalised income","26.5",""
"2010","Malta","Percentage","Cities","Below 60% of median equivalised income","45.8",""
"2010","Netherlands","Percentage","Cities","Below 60% of median equivalised income","22.2",""
"2010","Austria","Percentage","Cities","Below 60% of median equivalised income","12.3",""
"2010","Poland","Percentage","Cities","Below 60% of median equivalised income","20.9",""
"2010","Portugal","Percentage","Cities","Below 60% of median equivalised income","31.4",""
"2010","Romania","Percentage","Cities","Below 60% of median equivalised income","35.4",""
"2010","Slovenia","Percentage","Cities","Below 60% of median equivalised income","17.7",""
"2010","Slovakia","Percentage","Cities","Below 60% of median equivalised income","29.5",""
"2010","Finland","Percentage","Cities","Below 60% of median equivalised income","12.2",""
"2010","Sweden","Percentage","Cities","Below 60% of median equivalised income","8.3",""
"2010","United Kingdom","Percentage","Cities","Below 60% of median equivalised income","13.2",""
"2010","Iceland","Percentage","Cities","Below 60% of median equivalised income","14.1",""
"2010","Norway","Percentage","Cities","Below 60% of median equivalised income","14.6",""
"2010","Switzerland","Percentage","Cities","Below 60% of median equivalised income","15.7",""
"2010","North Macedonia","Percentage","Cities","Below 60% of median equivalised income","17.2",""
"2010","Serbia","Percentage","Cities","Below 60% of median equivalised income",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Percentage","Cities","Below 60% of median equivalised income","23.4",""
"2011","European Union - 28 countries","Percentage","Cities","Below 60% of median equivalised income","23.4",""
"2011","European Union - 27 countries (2007-2013)","Percentage","Cities","Below 60% of median equivalised income","23.5",""
"2011","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage","Cities","Below 60% of median equivalised income","25.2","e"
"2011","Euro area (19 countries)","Percentage","Cities","Below 60% of median equivalised income","25.2",""
"2011","Euro area (18 countries)","Percentage","Cities","Below 60% of median equivalised income","25.2",""
"2011","Belgium","Percentage","Cities","Below 60% of median equivalised income","28.7",""
"2011","Bulgaria","Percentage","Cities","Below 60% of median equivalised income","35.9",""
"2011","Czechia","Percentage","Cities","Below 60% of median equivalised income","28.5",""
"2011","Denmark","Percentage","Cities","Below 60% of median equivalised income","14.4",""
"2011","Germany (until 1990 former territory of the FRG)","Percentage","Cities","Below 60% of median equivalised income","32.4",""
"2011","Estonia","Percentage","Cities","Below 60% of median equivalised income","15.8",""
"2011","Ireland","Percentage","Cities","Below 60% of median equivalised income","4.2",""
"2011","Greece","Percentage","Cities","Below 60% of median equivalised income","35.7",""
"2011","Spain","Percentage","Cities","Below 60% of median equivalised income","10.3",""
"2011","France","Percentage","Cities","Below 60% of median equivalised income","19.7",""
"2011","Croatia","Percentage","Cities","Below 60% of median equivalised income","7.4",""
"2011","Italy","Percentage","Cities","Below 60% of median equivalised income","34.2",""
"2011","Cyprus","Percentage","Cities","Below 60% of median equivalised income","23.3",""
"2011","Latvia","Percentage","Cities","Below 60% of median equivalised income","30.5",""
"2011","Lithuania","Percentage","Cities","Below 60% of median equivalised income","21.7",""
"2011","Luxembourg","Percentage","Cities","Below 60% of median equivalised income","22.0",""
"2011","Hungary","Percentage","Cities","Below 60% of median equivalised income","17.1",""
"2011","Malta","Percentage","Cities","Below 60% of median equivalised income","39.7",""
"2011","Netherlands","Percentage","Cities","Below 60% of median equivalised income","15.8",""
"2011","Austria","Percentage","Cities","Below 60% of median equivalised income","14.2",""
"2011","Poland","Percentage","Cities","Below 60% of median equivalised income","22.1",""
"2011","Portugal","Percentage","Cities","Below 60% of median equivalised income","29.0",""
"2011","Romania","Percentage","Cities","Below 60% of median equivalised income","34.7",""
"2011","Slovenia","Percentage","Cities","Below 60% of median equivalised income","18.7",""
"2011","Slovakia","Percentage","Cities","Below 60% of median equivalised income","18.6",""
"2011","Finland","Percentage","Cities","Below 60% of median equivalised income","11.2",""
"2011","Sweden","Percentage","Cities","Below 60% of median equivalised income","7.3",""
"2011","United Kingdom","Percentage","Cities","Below 60% of median equivalised income","16.1",""
"2011","Iceland","Percentage","Cities","Below 60% of median equivalised income","13.3",""
"2011","Norway","Percentage","Cities","Below 60% of median equivalised income","10.1",""
"2011","Switzerland","Percentage","Cities","Below 60% of median equivalised income","18.5",""
"2011","North Macedonia","Percentage","Cities","Below 60% of median equivalised income","15.4",""
"2011","Serbia","Percentage","Cities","Below 60% of median equivalised income",":",""
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Percentage","Cities","Below 60% of median equivalised income","21.2",""
"2012","European Union - 28 countries","Percentage","Cities","Below 60% of median equivalised income","21.2",""
"2012","European Union - 27 countries (2007-2013)","Percentage","Cities","Below 60% of median equivalised income","21.2",""
"2012","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage","Cities","Below 60% of median equivalised income","24.3","e"
"2012","Euro area (19 countries)","Percentage","Cities","Below 60% of median equivalised income","24.3",""
"2012","Euro area (18 countries)","Percentage","Cities","Below 60% of median equivalised income","24.3",""
"2012","Belgium","Percentage","Cities","Below 60% of median equivalised income","31.9","b"
"2012","Bulgaria","Percentage","Cities","Below 60% of median equivalised income","30.5","b"
"2012","Czechia","Percentage","Cities","Below 60% of median equivalised income","22.4","b"
"2012","Denmark","Percentage","Cities","Below 60% of median equivalised income","9.0","b"
"2012","Germany (until 1990 former territory of the FRG)","Percentage","Cities","Below 60% of median equivalised income","31.2","b"
"2012","Estonia","Percentage","Cities","Below 60% of median equivalised income","12.1","b"
"2012","Ireland","Percentage","Cities","Below 60% of median equivalised income","5.4","b"
"2012","Greece","Percentage","Cities","Below 60% of median equivalised income","41.7","b"
"2012","Spain","Percentage","Cities","Below 60% of median equivalised income","10.7","b"
"2012","France","Percentage","Cities","Below 60% of median equivalised income","17.8","b"
"2012","Croatia","Percentage","Cities","Below 60% of median equivalised income","16.2","b"
"2012","Italy","Percentage","Cities","Below 60% of median equivalised income","32.0",""
"2012","Cyprus","Percentage","Cities","Below 60% of median equivalised income","11.8","b"
"2012","Latvia","Percentage","Cities","Below 60% of median equivalised income","24.5","b"
"2012","Lithuania","Percentage","Cities","Below 60% of median equivalised income","21.3","b"
"2012","Luxembourg","Percentage","Cities","Below 60% of median equivalised income","25.0","b"
"2012","Hungary","Percentage","Cities","Below 60% of median equivalised income","16.5","b"
"2012","Malta","Percentage","Cities","Below 60% of median equivalised income","39.8","b"
"2012","Netherlands","Percentage","Cities","Below 60% of median equivalised income","22.9","b"
"2012","Austria","Percentage","Cities","Below 60% of median equivalised income","13.6",""
"2012","Poland","Percentage","Cities","Below 60% of median equivalised income","23.2","b"
"2012","Portugal","Percentage","Cities","Below 60% of median equivalised income","21.7","b"
"2012","Romania","Percentage","Cities","Below 60% of median equivalised income","27.5","b"
"2012","Slovenia","Percentage","Cities","Below 60% of median equivalised income","22.0","b"
"2012","Slovakia","Percentage","Cities","Below 60% of median equivalised income","15.9","b"
"2012","Finland","Percentage","Cities","Below 60% of median equivalised income","10.3","b"
"2012","Sweden","Percentage","Cities","Below 60% of median equivalised income","8.4","b"
"2012","United Kingdom","Percentage","Cities","Below 60% of median equivalised income","9.7","b"
"2012","Iceland","Percentage","Cities","Below 60% of median equivalised income","7.0","b"
"2012","Norway","Percentage","Cities","Below 60% of median equivalised income","10.5","b"
"2012","Switzerland","Percentage","Cities","Below 60% of median equivalised income","11.8","b"
"2012","North Macedonia","Percentage","Cities","Below 60% of median equivalised income",":",""
"2012","Serbia","Percentage","Cities","Below 60% of median equivalised income",":",""
"2013","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Percentage","Cities","Below 60% of median equivalised income","23.1",""
"2013","European Union - 28 countries","Percentage","Cities","Below 60% of median equivalised income","23.1",""
"2013","European Union - 27 countries (2007-2013)","Percentage","Cities","Below 60% of median equivalised income","23.1",""
"2013","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage","Cities","Below 60% of median equivalised income","26.5","e"
"2013","Euro area (19 countries)","Percentage","Cities","Below 60% of median equivalised income","26.5",""
"2013","Euro area (18 countries)","Percentage","Cities","Below 60% of median equivalised income","26.5",""
"2013","Belgium","Percentage","Cities","Below 60% of median equivalised income","33.2",""
"2013","Bulgaria","Percentage","Cities","Below 60% of median equivalised income","28.0",""
"2013","Czechia","Percentage","Cities","Below 60% of median equivalised income","29.6",""
"2013","Denmark","Percentage","Cities","Below 60% of median equivalised income","8.1",""
"2013","Germany (until 1990 former territory of the FRG)","Percentage","Cities","Below 60% of median equivalised income","36.0",""
"2013","Estonia","Percentage","Cities","Below 60% of median equivalised income","12.1",""
"2013","Ireland","Percentage","Cities","Below 60% of median equivalised income","8.1",""
"2013","Greece","Percentage","Cities","Below 60% of median equivalised income","43.3",""
"2013","Spain","Percentage","Cities","Below 60% of median equivalised income","14.9",""
"2013","France","Percentage","Cities","Below 60% of median equivalised income","20.8",""
"2013","Croatia","Percentage","Cities","Below 60% of median equivalised income","13.0",""
"2013","Italy","Percentage","Cities","Below 60% of median equivalised income","30.9",""
"2013","Cyprus","Percentage","Cities","Below 60% of median equivalised income","15.9",""
"2013","Latvia","Percentage","Cities","Below 60% of median equivalised income","19.1",""
"2013","Lithuania","Percentage","Cities","Below 60% of median equivalised income","25.8",""
"2013","Luxembourg","Percentage","Cities","Below 60% of median equivalised income","21.0",""
"2013","Hungary","Percentage","Cities","Below 60% of median equivalised income","18.5",""
"2013","Malta","Percentage","Cities","Below 60% of median equivalised income","41.3",""
"2013","Netherlands","Percentage","Cities","Below 60% of median equivalised income","21.8",""
"2013","Austria","Percentage","Cities","Below 60% of median equivalised income","19.2",""
"2013","Poland","Percentage","Cities","Below 60% of median equivalised income","23.2",""
"2013","Portugal","Percentage","Cities","Below 60% of median equivalised income","20.4",""
"2013","Romania","Percentage","Cities","Below 60% of median equivalised income","19.6",""
"2013","Slovenia","Percentage","Cities","Below 60% of median equivalised income","19.8",""
"2013","Slovakia","Percentage","Cities","Below 60% of median equivalised income","8.2",""
"2013","Finland","Percentage","Cities","Below 60% of median equivalised income","12.4",""
"2013","Sweden","Percentage","Cities","Below 60% of median equivalised income","13.6",""
"2013","United Kingdom","Percentage","Cities","Below 60% of median equivalised income","12.4",""
"2013","Iceland","Percentage","Cities","Below 60% of median equivalised income","11.0",""
"2013","Norway","Percentage","Cities","Below 60% of median equivalised income","10.6",""
"2013","Switzerland","Percentage","Cities","Below 60% of median equivalised income","15.1",""
"2013","North Macedonia","Percentage","Cities","Below 60% of median equivalised income",":",""
"2013","Serbia","Percentage","Cities","Below 60% of median equivalised income","27.1",""
"2014","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Percentage","Cities","Below 60% of median equivalised income","22.6",""
"2014","European Union - 28 countries","Percentage","Cities","Below 60% of median equivalised income","22.6",""
"2014","European Union - 27 countries (2007-2013)","Percentage","Cities","Below 60% of median equivalised income","22.6",""
"2014","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage","Cities","Below 60% of median equivalised income","25.9","e"
"2014","Euro area (19 countries)","Percentage","Cities","Below 60% of median equivalised income","25.8",""
"2014","Euro area (18 countries)","Percentage","Cities","Below 60% of median equivalised income","25.9",""
"2014","Belgium","Percentage","Cities","Below 60% of median equivalised income","33.9",""
"2014","Bulgaria","Percentage","Cities","Below 60% of median equivalised income","35.0",""
"2014","Czechia","Percentage","Cities","Below 60% of median equivalised income","23.2",""
"2014","Denmark","Percentage","Cities","Below 60% of median equivalised income","20.1",""
"2014","Germany (until 1990 former territory of the FRG)","Percentage","Cities","Below 60% of median equivalised income","37.7",""
"2014","Estonia","Percentage","Cities","Below 60% of median equivalised income","18.2","b"
"2014","Ireland","Percentage","Cities","Below 60% of median equivalised income","7.0",""
"2014","Greece","Percentage","Cities","Below 60% of median equivalised income","30.7",""
"2014","Spain","Percentage","Cities","Below 60% of median equivalised income","16.6",""
"2014","France","Percentage","Cities","Below 60% of median equivalised income","20.4",""
"2014","Croatia","Percentage","Cities","Below 60% of median equivalised income","13.1",""
"2014","Italy","Percentage","Cities","Below 60% of median equivalised income","29.1",""
"2014","Cyprus","Percentage","Cities","Below 60% of median equivalised income","10.2",""
"2014","Latvia","Percentage","Cities","Below 60% of median equivalised income","26.7",""
"2014","Lithuania","Percentage","Cities","Below 60% of median equivalised income","18.4",""
"2014","Luxembourg","Percentage","Cities","Below 60% of median equivalised income","27.8",""
"2014","Hungary","Percentage","Cities","Below 60% of median equivalised income","26.8",""
"2014","Malta","Percentage","Cities","Below 60% of median equivalised income","39.0",""
"2014","Netherlands","Percentage","Cities","Below 60% of median equivalised income","20.1",""
"2014","Austria","Percentage","Cities","Below 60% of median equivalised income","11.7",""
"2014","Poland","Percentage","Cities","Below 60% of median equivalised income","26.9",""
"2014","Portugal","Percentage","Cities","Below 60% of median equivalised income","19.8",""
"2014","Romania","Percentage","Cities","Below 60% of median equivalised income","20.0",""
"2014","Slovenia","Percentage","Cities","Below 60% of median equivalised income","17.3",""
"2014","Slovakia","Percentage","Cities","Below 60% of median equivalised income","19.7",""
"2014","Finland","Percentage","Cities","Below 60% of median equivalised income","12.9",""
"2014","Sweden","Percentage","Cities","Below 60% of median equivalised income","13.8",""
"2014","United Kingdom","Percentage","Cities","Below 60% of median equivalised income","10.9",""
"2014","Iceland","Percentage","Cities","Below 60% of median equivalised income","14.4",""
"2014","Norway","Percentage","Cities","Below 60% of median equivalised income",":",""
"2014","Switzerland","Percentage","Cities","Below 60% of median equivalised income","15.3","b"
"2014","North Macedonia","Percentage","Cities","Below 60% of median equivalised income",":",""
"2014","Serbia","Percentage","Cities","Below 60% of median equivalised income","19.1",""
"2015","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Percentage","Cities","Below 60% of median equivalised income","22.7",""
"2015","European Union - 28 countries","Percentage","Cities","Below 60% of median equivalised income","22.7",""
"2015","European Union - 27 countries (2007-2013)","Percentage","Cities","Below 60% of median equivalised income","22.8",""
"2015","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage","Cities","Below 60% of median equivalised income","26.2","e"
"2015","Euro area (19 countries)","Percentage","Cities","Below 60% of median equivalised income","26.2",""
"2015","Euro area (18 countries)","Percentage","Cities","Below 60% of median equivalised income","26.2",""
"2015","Belgium","Percentage","Cities","Below 60% of median equivalised income","29.7",""
"2015","Bulgaria","Percentage","Cities","Below 60% of median equivalised income","32.7",""
"2015","Czechia","Percentage","Cities","Below 60% of median equivalised income","35.5",""
"2015","Denmark","Percentage","Cities","Below 60% of median equivalised income","17.5",""
"2015","Germany (until 1990 former territory of the FRG)","Percentage","Cities","Below 60% of median equivalised income","38.9",""
"2015","Estonia","Percentage","Cities","Below 60% of median equivalised income","14.0",""
"2015","Ireland","Percentage","Cities","Below 60% of median equivalised income","10.2",""
"2015","Greece","Percentage","Cities","Below 60% of median equivalised income","28.1",""
"2015","Spain","Percentage","Cities","Below 60% of median equivalised income","17.1",""
"2015","France","Percentage","Cities","Below 60% of median equivalised income","18.8",""
"2015","Croatia","Percentage","Cities","Below 60% of median equivalised income","8.9",""
"2015","Italy","Percentage","Cities","Below 60% of median equivalised income","31.7","b"
"2015","Cyprus","Percentage","Cities","Below 60% of median equivalised income","7.8",""
"2015","Latvia","Percentage","Cities","Below 60% of median equivalised income","21.5",""
"2015","Lithuania","Percentage","Cities","Below 60% of median equivalised income","31.1",""
"2015","Luxembourg","Percentage","Cities","Below 60% of median equivalised income","32.7",""
"2015","Hungary","Percentage","Cities","Below 60% of median equivalised income","21.7",""
"2015","Malta","Percentage","Cities","Below 60% of median equivalised income","30.1",""
"2015","Netherlands","Percentage","Cities","Below 60% of median equivalised income","17.5",""
"2015","Austria","Percentage","Cities","Below 60% of median equivalised income","18.2",""
"2015","Poland","Percentage","Cities","Below 60% of median equivalised income","18.0",""
"2015","Portugal","Percentage","Cities","Below 60% of median equivalised income","22.8",""
"2015","Romania","Percentage","Cities","Below 60% of median equivalised income","13.1",""
"2015","Slovenia","Percentage","Cities","Below 60% of median equivalised income","18.8",""
"2015","Slovakia","Percentage","Cities","Below 60% of median equivalised income","6.3",""
"2015","Finland","Percentage","Cities","Below 60% of median equivalised income","10.1",""
"2015","Sweden","Percentage","Cities","Below 60% of median equivalised income","12.3",""
"2015","United Kingdom","Percentage","Cities","Below 60% of median equivalised income","13.0",""
"2015","Iceland","Percentage","Cities","Below 60% of median equivalised income","10.5",""
"2015","Norway","Percentage","Cities","Below 60% of median equivalised income","10.2",""
"2015","Switzerland","Percentage","Cities","Below 60% of median equivalised income","13.6",""
"2015","North Macedonia","Percentage","Cities","Below 60% of median equivalised income",":",""
"2015","Serbia","Percentage","Cities","Below 60% of median equivalised income","17.0",""
"2016","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Percentage","Cities","Below 60% of median equivalised income","22.1",""
"2016","European Union - 28 countries","Percentage","Cities","Below 60% of median equivalised income","22.1",""
"2016","European Union - 27 countries (2007-2013)","Percentage","Cities","Below 60% of median equivalised income","22.2",""
"2016","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage","Cities","Below 60% of median equivalised income","25.5","e"
"2016","Euro area (19 countries)","Percentage","Cities","Below 60% of median equivalised income","25.5",""
"2016","Euro area (18 countries)","Percentage","Cities","Below 60% of median equivalised income","25.5",""
"2016","Belgium","Percentage","Cities","Below 60% of median equivalised income","31.5",""
"2016","Bulgaria","Percentage","Cities","Below 60% of median equivalised income","30.7","b"
"2016","Czechia","Percentage","Cities","Below 60% of median equivalised income","33.0",""
"2016","Denmark","Percentage","Cities","Below 60% of median equivalised income","11.6",""
"2016","Germany (until 1990 former territory of the FRG)","Percentage","Cities","Below 60% of median equivalised income","35.6",""
"2016","Estonia","Percentage","Cities","Below 60% of median equivalised income","12.9",""
"2016","Ireland","Percentage","Cities","Below 60% of median equivalised income","9.1",""
"2016","Greece","Percentage","Cities","Below 60% of median equivalised income","25.3",""
"2016","Spain","Percentage","Cities","Below 60% of median equivalised income","21.1",""
"2016","France","Percentage","Cities","Below 60% of median equivalised income","21.4",""
"2016","Croatia","Percentage","Cities","Below 60% of median equivalised income","10.3",""
"2016","Italy","Percentage","Cities","Below 60% of median equivalised income","26.0",""
"2016","Cyprus","Percentage","Cities","Below 60% of median equivalised income","14.0",""
"2016","Latvia","Percentage","Cities","Below 60% of median equivalised income","23.9",""
"2016","Lithuania","Percentage","Cities","Below 60% of median equivalised income","27.2",""
"2016","Luxembourg","Percentage","Cities","Below 60% of median equivalised income","13.5","b"
"2016","Hungary","Percentage","Cities","Below 60% of median equivalised income","18.1",""
"2016","Malta","Percentage","Cities","Below 60% of median equivalised income","32.3",""
"2016","Netherlands","Percentage","Cities","Below 60% of median equivalised income","21.0","b"
"2016","Austria","Percentage","Cities","Below 60% of median equivalised income","16.8",""
"2016","Poland","Percentage","Cities","Below 60% of median equivalised income","17.7",""
"2016","Portugal","Percentage","Cities","Below 60% of median equivalised income","21.0",""
"2016","Romania","Percentage","Cities","Below 60% of median equivalised income","6.0",""
"2016","Slovenia","Percentage","Cities","Below 60% of median equivalised income","19.8",""
"2016","Slovakia","Percentage","Cities","Below 60% of median equivalised income","14.3",""
"2016","Finland","Percentage","Cities","Below 60% of median equivalised income","7.9",""
"2016","Sweden","Percentage","Cities","Below 60% of median equivalised income","11.5",""
"2016","United Kingdom","Percentage","Cities","Below 60% of median equivalised income","12.9",""
"2016","Iceland","Percentage","Cities","Below 60% of median equivalised income","11.9",""
"2016","Norway","Percentage","Cities","Below 60% of median equivalised income","12.9",""
"2016","Switzerland","Percentage","Cities","Below 60% of median equivalised income","9.1",""
"2016","North Macedonia","Percentage","Cities","Below 60% of median equivalised income","22.4",""
"2016","Serbia","Percentage","Cities","Below 60% of median equivalised income","16.3",""
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Percentage","Cities","Below 60% of median equivalised income","23.0","e"
"2017","European Union - 28 countries","Percentage","Cities","Below 60% of median equivalised income","23.0","e"
"2017","European Union - 27 countries (2007-2013)","Percentage","Cities","Below 60% of median equivalised income","23.0","e"
"2017","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage","Cities","Below 60% of median equivalised income","24.2","e"
"2017","Euro area (19 countries)","Percentage","Cities","Below 60% of median equivalised income","24.2",""
"2017","Euro area (18 countries)","Percentage","Cities","Below 60% of median equivalised income","24.2",""
"2017","Belgium","Percentage","Cities","Below 60% of median equivalised income","28.0",""
"2017","Bulgaria","Percentage","Cities","Below 60% of median equivalised income","34.3",""
"2017","Czechia","Percentage","Cities","Below 60% of median equivalised income","20.7",""
"2017","Denmark","Percentage","Cities","Below 60% of median equivalised income","18.2",""
"2017","Germany (until 1990 former territory of the FRG)","Percentage","Cities","Below 60% of median equivalised income","39.6",""
"2017","Estonia","Percentage","Cities","Below 60% of median equivalised income","9.7",""
"2017","Ireland","Percentage","Cities","Below 60% of median equivalised income","17.2",""
"2017","Greece","Percentage","Cities","Below 60% of median equivalised income","28.5",""
"2017","Spain","Percentage","Cities","Below 60% of median equivalised income","14.5",""
"2017","France","Percentage","Cities","Below 60% of median equivalised income","18.9",""
"2017","Croatia","Percentage","Cities","Below 60% of median equivalised income","6.7",""
"2017","Italy","Percentage","Cities","Below 60% of median equivalised income","21.8",""
"2017","Cyprus","Percentage","Cities","Below 60% of median equivalised income","8.4",""
"2017","Latvia","Percentage","Cities","Below 60% of median equivalised income","21.9",""
"2017","Lithuania","Percentage","Cities","Below 60% of median equivalised income","26.4",""
"2017","Luxembourg","Percentage","Cities","Below 60% of median equivalised income","22.5",""
"2017","Hungary","Percentage","Cities","Below 60% of median equivalised income","25.4",""
"2017","Malta","Percentage","Cities","Below 60% of median equivalised income","26.5",""
"2017","Netherlands","Percentage","Cities","Below 60% of median equivalised income","23.9",""
